,id,carat,cut,color,clarity,depth,table,x,y,z,price
4593,4594,0.54,Very Good,H,SI2,60.7,55.0,5.31,5.34,3.23,1194
22448,22449,0.35,Premium,E,VVS1,60.7,59.0,4.55,4.58,2.77,1044
4903,4904,0.77,Premium,G,SI1,60.7,58.0,5.95,5.98,3.62,2563
11854,11855,0.7,Premium,G,VS1,61.0,59.0,5.68,5.77,3.49,2512
8025,8026,2.04,Very Good,I,SI1,63.1,58.0,8.06,7.99,5.06,15412
16505,16506,1.15,Very Good,E,SI2,61.7,60.0,6.7,6.78,4.16,4250
9708,9709,1.0,Very Good,H,SI1,61.8,57.0,6.39,6.42,3.96,4995
7859,7860,0.72,Premium,F,SI2,59.3,57.0,5.89,5.85,3.48,2364
16991,16992,1.15,Very Good,E,SI2,60.0,59.0,6.78,6.82,4.08,5257
19165,19166,1.0,Ideal,J,VS2,62.4,54.0,6.4,6.46,4.01,4539
13873,13874,0.38,Ideal,F,VS2,61.2,57.0,4.67,4.64,2.85,889
2635,2636,0.3,Ideal,H,VS2,61.4,56.0,4.33,4.36,2.67,626
14932,14933,1.2,Very Good,J,SI2,61.8,60.0,6.76,6.83,4.2,4580
10993,10994,0.38,Premium,I,VS2,61.8,59.0,4.64,4.61,2.86,812
10916,10917,0.31,Very Good,F,VVS1,61.8,59.0,4.33,4.35,2.68,897
9235,9236,0.54,Ideal,I,VS1,61.2,58.0,5.24,5.29,3.22,1304
16635,16636,1.19,Premium,E,VS1,59.8,58.0,7.01,6.94,4.17,9263
22254,22255,1.5,Premium,I,SI1,62.3,58.0,7.33,7.22,4.53,6888
13890,13891,0.32,Ideal,H,VVS2,62.0,55.0,4.42,4.39,2.73,828
17708,17709,0.3,Ideal,G,SI2,62.1,58.0,4.27,4.3,2.66,422
23464,23465,0.51,Premium,F,VVS1,62.6,57.0,5.1,5.06,3.18,2341
13084,13085,0.55,Ideal,I,VVS1,61.7,56.0,5.29,5.24,3.25,1712
6154,6155,0.71,Ideal,H,VVS1,62.1,54.0,5.7,5.76,3.56,2918
8692,8693,0.31,Ideal,H,VS2,62.0,57.0,4.33,4.38,2.7,489
14531,14532,0.34,Ideal,G,SI1,61.9,55.5,4.49,4.54,2.79,531
3099,3100,1.71,Very Good,F,VS2,58.5,61.0,7.88,7.79,4.58,17052
21333,21334,0.5,Premium,H,VS1,,58.0,5.22,5.17,3.13,1395
5416,5417,0.42,Ideal,D,SI1,61.9,57.0,4.82,4.77,2.97,1040
6391,6392,0.41,Very Good,E,SI1,63.1,57.0,4.78,4.73,3.0,904
17537,17538,0.74,Ideal,F,VS2,62.1,56.0,5.79,5.83,3.61,3171
13440,13441,0.38,Very Good,J,SI1,63.2,59.0,4.59,4.62,2.91,538
3599,3600,0.75,Fair,J,VS2,59.1,66.0,5.99,5.82,3.49,1944
14072,14073,0.3,Ideal,E,VVS1,62.6,54.0,4.3,4.33,2.7,838
25192,25193,0.9,Very Good,I,VS2,61.6,57.0,6.13,6.17,3.79,3581
12684,12685,0.91,Premium,E,SI2,60.0,60.0,6.28,6.23,3.75,3379
22088,22089,0.66,Ideal,H,SI1,61.6,55.0,5.63,5.66,3.48,1936
23945,23946,0.32,Ideal,E,VS2,62.0,55.0,4.46,4.38,2.74,900
12647,12648,0.76,Ideal,D,SI1,62.3,55.0,5.81,5.84,3.63,3732
11289,11290,0.53,Premium,F,SI1,61.4,58.0,5.19,5.17,3.18,1324
26881,26882,0.7,Good,E,VS1,59.8,62.0,5.74,5.8,3.45,2973
22262,22263,1.12,Premium,I,SI1,60.8,57.0,6.76,6.7,4.09,4704
16397,16398,0.53,Good,H,SI1,63.7,55.0,5.12,5.15,3.27,1132
18439,18440,0.9,Good,J,VS2,57.9,63.0,6.32,6.35,3.67,3423
1738,1739,0.3,Ideal,H,IF,61.2,55.0,4.36,4.37,2.67,764
11304,11305,0.53,Ideal,D,VS2,60.6,57.0,5.24,5.28,3.19,1857
14337,14338,0.23,Very Good,H,VS1,59.4,61.0,4.0,4.05,2.39,338
10081,10082,0.33,Premium,G,VS2,59.3,61.0,4.51,4.49,2.67,743
15217,15218,0.7,Ideal,F,SI1,61.6,56.0,5.73,5.67,3.51,2319
5773,5774,1.03,Very Good,H,SI1,63.3,57.0,6.41,6.39,4.05,4932
13751,13752,1.08,Premium,D,VS2,61.2,60.0,6.63,6.61,4.05,7824
22456,22457,1.38,Premium,G,SI2,58.3,59.0,7.34,7.27,4.26,5487
5079,5080,0.9,Premium,G,SI1,60.1,59.0,6.25,6.2,3.74,3326
2418,2419,0.91,Very Good,F,VS2,62.1,58.0,6.19,6.24,3.86,4917
4677,4678,0.81,Ideal,G,SI1,,55.0,5.97,5.94,3.73,2725
14467,14468,0.33,Good,F,VVS1,60.2,64.0,4.47,4.5,2.7,724
22589,22590,0.57,Premium,G,VS1,60.5,58.0,5.39,5.32,3.24,1746
19543,19544,0.51,Very Good,F,SI2,62.7,56.0,5.07,5.1,3.19,1100
2629,2630,1.07,Ideal,H,I1,62.1,55.0,6.55,6.59,4.08,3412
25228,25229,1.3,Premium,H,SI2,60.1,57.0,7.17,7.13,4.3,6406
7697,7698,0.7,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58,2780
15790,15791,0.7,Good,H,VS2,63.4,60.0,5.59,5.61,3.55,2394
24211,24212,0.81,Very Good,E,SI1,60.3,60.0,6.07,6.1,3.67,2797
1773,1774,0.51,Premium,D,SI1,62.2,58.0,5.13,5.06,3.17,1619
8376,8377,0.33,Premium,F,VS2,62.4,58.0,4.41,4.37,2.74,854
21403,21404,0.91,Good,G,SI1,57.7,58.0,6.33,6.4,3.67,5394
11242,11243,1.41,Ideal,H,SI2,,56.0,7.11,7.17,4.48,7324
12939,12940,0.77,Fair,J,SI1,60.2,66.0,5.97,5.81,3.55,1956
2470,2471,0.7,Premium,I,SI2,59.5,58.0,5.79,5.73,3.43,1890
1261,1262,1.73,Good,E,SI1,64.2,58.0,7.54,7.5,4.83,14479
20277,20278,0.7,Ideal,D,SI2,62.6,54.0,5.69,5.72,3.57,2936
13216,13217,0.32,Ideal,G,VS1,62.1,55.0,4.4,4.42,2.74,645
24666,24667,1.59,Premium,F,VS2,60.2,60.0,7.59,7.62,4.58,15461
20502,20503,1.03,Premium,J,SI1,61.7,54.0,6.56,6.5,4.03,4153
10748,10749,0.31,Ideal,D,SI2,62.3,56.0,4.38,4.35,2.72,593
24759,24760,0.55,Ideal,G,SI1,61.9,57.0,5.23,5.27,3.25,1605
16008,16009,0.96,Fair,J,SI1,67.3,56.0,6.06,6.01,4.06,2517
20786,20787,0.23,Very Good,G,VVS2,62.3,57.0,3.9,3.92,2.43,431
23472,23473,0.24,Very Good,D,VVS2,60.6,59.0,4.0,4.02,2.43,552
17813,17814,2.05,Fair,I,VS1,67.7,58.0,7.74,7.68,5.22,17408
10297,10298,1.21,Ideal,E,SI1,62.2,54.1,6.82,6.86,4.26,7231
15768,15769,0.9,Fair,F,VS1,65.7,59.0,5.96,5.92,3.9,3750
8985,8986,0.28,Ideal,G,SI1,61.2,54.0,4.22,4.27,2.6,455
3419,3420,0.28,Very Good,E,VVS2,60.0,56.0,4.26,4.28,2.56,642
11615,11616,2.27,Ideal,I,SI2,63.0,54.0,8.36,8.39,5.28,15710
16263,16264,0.5,Ideal,G,VS2,62.2,54.1,5.07,5.12,3.17,1601
25777,25778,0.9,Very Good,H,VVS2,62.4,58.0,6.12,6.15,3.83,4740
15430,15431,0.71,Good,H,SI1,63.5,57.0,5.63,5.67,3.59,2096
16175,16176,1.2,Ideal,G,VS2,,54.7,6.79,6.85,4.25,8040
11499,11500,0.41,Premium,D,VVS1,62.3,53.0,4.78,4.75,2.97,1582
5494,5495,2.02,Ideal,H,VS2,61.6,56.0,8.17,8.12,5.02,18050
3964,3965,0.71,Very Good,H,VS2,59.2,63.0,5.81,5.85,3.45,2428
26,27,0.34,Ideal,D,SI1,,57.0,4.5,4.44,2.74,803
8431,8432,1.0,Very Good,E,VVS2,61.7,55.0,6.38,6.42,3.95,9324
15270,15271,0.3,Ideal,G,IF,61.4,57.0,4.3,4.33,2.65,863
18093,18094,1.04,Premium,H,SI1,59.5,58.0,6.67,6.58,3.94,4980
6773,6774,0.9,Very Good,I,VS2,63.3,58.0,6.07,6.13,3.86,3519
20591,20592,0.3,Ideal,E,VS2,61.6,56.0,4.27,4.3,2.64,658
14653,14654,2.11,Premium,J,SI2,60.7,60.0,8.2,8.27,5.0,12440
22409,22410,1.51,Very Good,H,VS2,63.1,57.0,7.24,7.21,4.56,8219
7698,7699,1.24,Ideal,J,SI1,61.9,56.0,6.95,6.88,4.28,5125
21799,21800,0.91,Good,F,SI1,63.7,58.0,6.1,6.17,3.91,3993
15172,15173,1.51,Very Good,I,VS2,60.4,58.0,7.36,7.42,4.46,9178
14725,14726,0.32,Premium,I,SI1,62.7,58.0,4.37,4.34,2.73,554
12655,12656,1.01,Fair,F,SI1,67.2,60.0,6.06,6.0,4.05,4276
3196,3197,0.32,Premium,E,VS2,61.3,59.0,4.39,4.35,2.68,900
21389,21390,1.56,Good,I,VS2,57.2,62.0,7.66,7.72,4.4,9609
13727,13728,1.66,Good,F,I1,62.1,57.7,7.56,7.6,4.71,6025
19269,19270,1.14,Premium,H,SI1,59.2,58.0,6.86,6.8,4.04,4980
23778,23779,0.51,Premium,E,SI2,61.7,58.0,5.14,5.07,3.15,1265
12549,12550,0.3,Ideal,E,VS1,60.8,57.0,4.36,4.33,2.64,911
20814,20815,0.43,Premium,D,SI1,60.1,58.0,4.89,4.93,2.95,830
17877,17878,1.54,Very Good,G,SI1,61.3,59.0,7.38,7.41,4.53,10036
8244,8245,0.3,Good,H,SI1,63.4,58.0,4.21,4.24,2.68,421
9898,9899,0.33,Very Good,G,VS2,59.3,61.0,4.49,4.51,2.67,579
10921,10922,0.57,Very Good,I,SI1,63.3,56.0,5.29,5.27,3.34,1176
25100,25101,0.31,Ideal,E,IF,61.3,58.0,4.37,4.4,2.69,1002
3858,3859,0.34,Ideal,D,SI1,62.0,55.0,4.5,4.53,2.8,584
10880,10881,0.42,Ideal,D,VS2,61.2,56.0,4.84,4.8,2.95,1103
21627,21628,1.24,Very Good,H,SI2,63.2,55.0,6.88,6.83,4.33,5486
5435,5436,0.42,Premium,F,VVS2,59.6,59.0,4.83,4.86,2.89,1142
2220,2221,1.75,Very Good,I,SI1,62.8,59.0,7.62,7.66,4.8,10635
12396,12397,1.11,Premium,I,SI2,61.8,58.0,6.61,6.66,4.1,4120
24509,24510,2.13,Ideal,H,SI2,61.8,57.0,8.21,8.25,5.09,15288
14315,14316,1.5,Very Good,G,VS1,62.4,57.0,7.24,7.31,4.54,13379
12227,12228,1.01,Ideal,E,SI1,62.0,57.0,6.38,6.45,3.98,5235
5589,5590,0.54,Good,E,SI2,63.8,54.0,5.17,5.18,3.3,1163
5889,5890,0.38,Very Good,J,IF,60.9,61.0,4.66,4.73,2.86,827
19558,19559,2.01,Ideal,I,SI1,62.2,56.0,8.12,8.06,5.03,15116
18263,18264,2.53,Fair,H,SI2,64.6,59.0,8.54,8.45,5.4,17103
13614,13615,0.83,Very Good,G,SI2,63.1,61.0,5.96,5.92,3.75,2259
26331,26332,1.5,Premium,H,I1,61.1,59.0,7.37,7.26,4.47,3599
15396,15397,0.97,Premium,F,SI2,58.9,58.0,6.51,6.47,3.82,4020
21166,21167,1.01,Ideal,H,SI1,62.3,55.0,6.46,6.45,4.02,5029
3149,3150,1.59,Premium,J,VS2,62.6,59.0,7.45,7.43,4.66,7953
8095,8096,1.21,Premium,J,VVS1,61.3,59.0,6.86,6.81,4.19,6001
19640,19641,0.32,Ideal,E,IF,61.2,57.0,4.4,4.43,2.7,1300
22269,22270,1.09,Ideal,G,VVS2,61.2,57.0,6.62,6.66,4.06,8295
25631,25632,1.03,Fair,I,VS1,57.6,58.0,6.67,6.58,3.81,4328
24412,24413,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,505
17563,17564,0.4,Ideal,E,SI1,62.4,53.0,4.73,4.75,2.96,694
22298,22299,1.12,Ideal,E,SI2,60.5,55.0,6.73,6.79,4.09,5000
15791,15792,0.4,Premium,E,VS2,62.5,58.0,4.73,4.65,2.93,975
21711,21712,0.72,Ideal,E,VVS2,62.1,56.0,5.72,5.77,3.57,4285
6204,6205,0.52,Ideal,G,VS1,61.6,54.0,5.21,5.24,3.22,1721
24714,24715,0.35,Ideal,E,VS2,61.7,55.0,4.54,4.57,2.81,767
13813,13814,0.52,Premium,E,VS2,60.9,58.0,5.2,5.18,3.16,1646
916,917,0.7,Very Good,E,SI1,63.3,58.0,5.63,5.57,3.55,1926
25860,25861,0.51,Ideal,E,VS2,60.4,57.0,5.15,5.18,3.12,1656
19953,19954,0.41,Ideal,G,SI1,62.1,55.0,4.78,4.81,2.98,1110
7331,7332,1.2,Very Good,I,SI1,61.2,62.0,6.75,6.84,4.16,5226
6036,6037,0.59,Ideal,I,SI1,61.7,55.0,5.41,5.39,3.33,1352
7442,7443,0.32,Ideal,D,SI1,62.0,57.0,4.42,4.38,2.73,756
16060,16061,1.5,Very Good,J,SI2,58.7,60.0,7.46,7.54,4.4,5902
10922,10923,0.32,Ideal,G,VVS1,61.4,55.0,4.44,4.42,2.72,1080
26033,26034,0.73,Ideal,F,SI1,59.6,57.0,5.88,5.86,3.5,2527
10419,10420,0.49,Very Good,E,SI1,63.6,57.9,4.96,4.99,3.16,1400
2197,2198,0.54,Ideal,F,VVS2,,56.0,5.27,5.3,3.21,2582
168,169,0.9,Very Good,D,SI1,61.0,63.0,6.13,6.1,3.73,4304
26430,26431,0.32,Ideal,H,VS2,61.3,56.0,4.42,4.45,2.72,523
21772,21773,1.25,Ideal,D,SI2,61.9,54.4,6.9,6.93,4.28,6779
4391,4392,0.3,Premium,D,SI1,62.5,59.0,4.26,4.22,2.65,520
17041,17042,1.05,Ideal,F,VS2,62.8,57.0,6.48,6.45,4.06,6933
3785,3786,1.5,Ideal,D,VS2,62.0,57.0,7.34,7.37,4.56,15788
7833,7834,0.54,Ideal,D,SI1,62.1,56.0,5.25,5.21,3.25,1786
21853,21854,1.51,Very Good,I,VVS2,61.9,56.0,7.35,7.38,4.56,9416
3703,3704,0.32,Ideal,F,VS1,61.1,57.0,4.42,4.45,2.71,652
25786,25787,0.57,Good,F,VS1,58.3,61.0,5.49,5.54,3.21,1741
114,115,1.37,Premium,G,VS2,61.6,59.0,7.11,7.04,4.36,7951
21855,21856,0.35,Ideal,G,IF,60.7,57.0,4.59,4.61,2.79,959
7806,7807,0.7,Premium,G,VVS2,62.9,59.0,5.68,5.61,3.55,2874
25622,25623,0.76,Ideal,F,VS1,61.9,55.0,5.88,5.84,3.63,3820
24218,24219,0.24,Very Good,E,VS1,60.1,57.0,4.08,4.1,2.46,378
24216,24217,1.21,Ideal,I,SI2,60.6,56.0,6.92,6.94,4.2,5091
10986,10987,0.9,Good,F,VS2,64.3,57.0,6.07,6.09,3.91,4617
20639,20640,0.9,Good,H,SI2,62.4,61.0,6.03,6.11,3.79,3160
8773,8774,1.24,Premium,H,SI1,60.1,58.0,7.04,7.01,4.22,6215
21262,21263,0.32,Ideal,F,VS2,61.3,57.0,4.4,4.37,2.69,828
26590,26591,1.24,Ideal,H,VS2,,59.0,6.99,7.03,4.21,7701
11200,11201,1.01,Premium,E,VS2,59.2,59.0,6.67,6.6,3.93,7287
20498,20499,0.5,Good,D,SI1,60.5,57.0,5.1,5.14,3.1,1447
10995,10996,0.71,Good,J,VS2,60.6,61.0,5.7,5.79,3.48,1922
7785,7786,1.0,Fair,F,VS1,67.0,52.0,6.12,6.08,4.09,4984
11161,11162,0.9,Good,I,VS2,62.4,65.0,6.12,6.09,3.81,3107
